ckpt,mask_frac,k,mse,ssim,psnr,fid
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,1.0,98304,0.0002113698061293,0.9669592171907424,37.122240447998045,0.7308012910420985
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.9,88473,0.0002183658907597,0.966395691037178,37.00596723556519,0.8621042291463255
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.8,78643,0.0002346864592254,0.9647065594792366,36.72943592071533,1.0702985349698793
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.7,68812,0.0002387159987847,0.9643238723278046,36.66438961029053,1.1060366275633555
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.6,58982,0.0002607250527944,0.961892145872116,36.31881055831909,1.2733874339792806
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.5,49152,0.0002671692796866,0.9612021908164023,36.22524852752686,1.2791231069778632
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.4,39321,0.0003700969493365,0.9489137336611748,34.88827648162842,1.548909968959208
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.3,29491,0.0004655461743823,0.9368624195456504,33.929841136932374,1.9720702814572637
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.2,19660,0.000714066371438,0.9116701170802116,32.145651483535765,3.469813846202669
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.1,9830,0.0012053481943439,0.875297749042511,29.84334459304809,5.54115849892105
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.01,983,0.0754308812320232,0.4384180553257465,11.49622974395752,235.7651892015703
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.08,7864,0.001584872484090738,0.8598111912608146,28.682686853408814,6.111554083918577
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.06,5898,0.0028571714588906615,0.8287398546934128,26.232389307022096,6.959958119019518
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.04,3932,0.0049313372699543835,0.7931187808513641,23.752736616134644,10.290765227092436
/projects/Gunn.s/Tunable_Imagenet/FFHQ_VAE_ND_24x64x64/best_vae.pth,0.02,1966,0.04726000800728798,0.5447261765599251,13.5134756565094,183.98561276508767
